temperature_2m_max,temperature_2m_min,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,locations_value,year
32.48500061,18.03499985,0,19.55963326,41.76000214,Bengaluru,2010
32.93500137,16.9849987,0,13.04472351,32.0399971,Bengaluru,2010
34.0850029,17.63500023,0,13.84947586,33.11999893,Bengaluru,2010
34.5850029,19.08499908,0,15.48418522,36,Bengaluru,2010
34.5850029,18.18499947,0,12.28755474,27.71999931,Bengaluru,2010
34.73500061,18.28499985,0,12.24529266,30.23999786,Bengaluru,2010
34.8350029,18.18499947,0,12.66156387,30.59999847,Bengaluru,2010
35.03499985,17.9849987,0,15.45905399,32.76000214,Bengaluru,2010
34.68500137,19.38500023,0,14.79945946,27,Bengaluru,2010
33.93500137,21.38500023,0,11.21213531,26.63999939,Bengaluru,2010
34.18500137,21.68499947,0,14.56554794,28.79999924,Bengaluru,2010
34.03499985,22.2349987,0,10.31511498,23.75999832,Bengaluru,2010
32.98500061,22.08499908,0.899999976,10.18869972,25.91999817,Bengaluru,2010
30.13500023,21.68499947,0.400000006,12.32441425,29.51999855,Bengaluru,2010
34.18500137,20.88500023,0,11.30422878,30.23999786,Bengaluru,2010
34.88500214,20.08499908,0,8.89134407,19.07999992,Bengaluru,2010
34.0850029,22.78499985,0,13.0447216,26.28000069,Bengaluru,2010
34.53499985,21.43499947,0,14.51206398,30.96000099,Bengaluru,2010
35.0850029,20.43499947,0,13.70839024,27.3599987,Bengaluru,2010
35.68500137,21.78499985,0,16.5951786,33.47999954,Bengaluru,2010
35.53499985,21.2349987,0,19.49326134,42.47999954,Bengaluru,2010
33.43500137,20.83499908,0.200000003,17.06870651,39.95999908,Bengaluru,2010
35.38500214,21.58499908,0,9,23.39999962,Bengaluru,2010
36.0850029,22.2349987,0,11.01976395,25.55999947,Bengaluru,2010
36.78499985,23.28499985,0,13.00492191,23.03999901,Bengaluru,2010
34.98500061,23.08499908,0,13.6610384,32.39999771,Bengaluru,2010
35.63500214,22.68499947,1.100000024,8.714676857,27.71999931,Bengaluru,2010
33.8350029,22.43499947,2.300000191,9.504272461,27.3599987,Bengaluru,2010
35.88500214,21.83499908,0.100000002,16.2678566,33.83999634,Bengaluru,2010
34.73500061,22.28499985,0,10.89557648,26.63999939,Bengaluru,2010
34.68500137,21.78499985,0,11.59289455,20.88000107,Bengaluru,2010
34.13500214,22.53499985,1,13.32486343,28.79999924,Bengaluru,2010
32.28499985,21.78499985,12.5,11.92898941,27.3599987,Bengaluru,2010
32.53499985,21.53499985,2.799999952,10.51421833,28.44000053,Bengaluru,2010
32.78499985,21.38500023,4.5,11.04326057,26.63999939,Bengaluru,2010
